time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-10T12:40:21.150Z,39.5379982,-121.9875031,2.11,1.57,md,5,164,0.2867,0.13,nc,nc73028311,2018-06-10T14:11:00.991Z,"18km E of Willows, CA",earthquake,1.02,11.93,0.39,3,automatic,nc,nc
2018-06-10T12:37:17.400Z,37.658165,-118.8339996,1.3,1.11,md,11,140,0.02023,0.05,nc,nc73028306,2018-06-10T13:42:01.864Z,"13km E of Mammoth Lakes, CA",earthquake,0.39,0.99,0.14,10,automatic,nc,nc
2018-06-10T12:33:35.830Z,19.3773327,-155.239502,2.15,1.72,ml,20,110,0.003888,0.29,hv,hv70257457,2018-06-10T12:39:16.310Z,"5km S of Volcano, Hawaii",earthquake,0.51,0.45,0.3,8,automatic,hv,hv
2018-06-10T12:33:15.819Z,61.4146,-150.0349,33.3,1.3,ml,,,,0.61,ak,ak19752327,2018-06-10T12:40:50.419Z,"12km SSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-06-10T12:32:18.980Z,37.6571655,-118.8346634,1.28,1.07,md,10,140,0.0192,0.03,nc,nc73028296,2018-06-10T13:14:00.685Z,"13km E of Mammoth Lakes, CA",earthquake,0.37,0.81,0.09,9,automatic,nc,nc
2018-06-10T12:30:51.450Z,19.4038334,-155.2598267,0.25,1.79,ml,17,105,0.008211,0.15,hv,hv70257452,2018-06-10T12:36:37.040Z,"3km SW of Volcano, Hawaii",earthquake,0.21,0.29,0.25,7,automatic,hv,hv
2018-06-10T12:12:54.286Z,61.3978,-150.0339,34.2,2.1,ml,,,,0.63,ak,ak19751614,2018-06-10T12:20:43.265Z,"14km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-06-10T12:08:51.240Z,38.8216667,-122.80867,0.89,1,md,21,57,0.002045,0.05,nc,nc73028291,2018-06-10T12:46:01.526Z,"7km NW of The Geysers, CA",earthquake,0.19,0.37,0.03,5,automatic,nc,nc
2018-06-10T12:07:09.520Z,33.8596667,-118.2165,2.9,1.22,ml,14,125,0.04013,0.17,ci,ci38195040,2018-06-10T12:10:47.360Z,"4km S of Compton, CA",earthquake,0.4,0.41,0.296,33,automatic,ci,ci
2018-06-10T12:01:09.458Z,62.7108,-149.1656,0.9,1.2,ml,,,,0.48,ak,ak19751612,2018-06-10T12:05:54.175Z,"64km NE of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-06-10T11:51:57.850Z,35.6063333,-84.7268333,4.63,2.65,md,21,42,0.2011,0.16,se,se60204617,2018-06-10T15:06:47.231Z,"11km NNE of Decatur, Tennessee",earthquake,0.34,0.82,0.063,14,reviewed,se,se
2018-06-10T11:28:33.760Z,37.5646667,-118.8288345,3.16,1.67,md,19,215,0.02532,0.02,nc,nc73028281,2018-06-10T12:18:00.379Z,"13km W of Toms Place, CA",earthquake,0.63,0.38,0.15,17,automatic,nc,nc
2018-06-10T11:18:03.530Z,19.428833,-155.2855072,-1.12,1.77,ml,7,241,0.008506,0.19,hv,hv70257197,2018-06-10T11:23:48.140Z,"5km W of Volcano, Hawaii",earthquake,0.44,0.69,3.22,7,automatic,hv,hv
2018-06-10T11:14:32.320Z,19.3990002,-155.2636719,0.79,2.51,ml,24,59,0.002352,0.23,hv,hv70257192,2018-06-10T11:20:19.560Z,"4km SW of Volcano, Hawaii",earthquake,0.33,0.36,0.36,11,automatic,hv,hv
2018-06-10T11:10:03.550Z,19.3896675,-155.3175049,0.41,1.85,md,7,289,0.0222,0.1,hv,hv70257177,2018-06-10T11:13:01.690Z,"9km WSW of Volcano, Hawaii",earthquake,0.63,0.57,0.05,5,automatic,hv,hv
2018-06-10T11:00:21.490Z,19.4078331,-155.2590027,0.29,2.49,ml,25,102,0.004311,0.17,hv,hv70257152,2018-06-10T11:06:05.380Z,"3km SW of Volcano, Hawaii",earthquake,0.24,0.23,0.36,9,automatic,hv,hv
2018-06-10T10:51:02.040Z,19.405,-155.281,1,5.3,mww,,,,0.31,us,us1000emnq,2018-06-10T18:38:43.397Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.7,8.2,0.093,11,reviewed,us,us
2018-06-10T10:50:13.700Z,34.0755,-117.4988333,4.02,0.64,ml,8,123,0.05739,0.16,ci,ci38195032,2018-06-10T10:53:47.814Z,"4km WSW of Fontana, CA",earthquake,0.7,1,0.059,7,automatic,ci,ci
2018-06-10T10:49:12.459Z,57.8876,-153.8329,10.1,2,ml,,,,0.88,ak,ak19750893,2018-06-10T10:52:38.279Z,"39km NNE of Larsen Bay, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-06-10T10:49:00.100Z,19.4274998,-155.2695007,-0.25,2.8,ml,11,98,0.008099,0.22,hv,hv70257112,2018-06-10T18:51:39.282Z,"3km W of Volcano, Hawaii",earthquake,0.32,0.3,0.24,10,automatic,hv,hv
2018-06-10T10:48:39.810Z,19.432333,-155.2786713,0.21,2.88,ml,22,75,0.007603,0.28,hv,hv70257107,2018-06-10T18:51:13.107Z,"4km W of Volcano, Hawaii",earthquake,0.31,0.3,0.26,10,automatic,hv,hv
2018-06-10T10:47:41.240Z,19.435833,-155.2763367,1.04,2.58,ml,9,129,0.01108,0.13,hv,hv70257102,2018-06-10T10:53:22.640Z,"4km W of Volcano, Hawaii",earthquake,0.63,0.33,0.23,3,automatic,hv,hv
2018-06-10T10:47:21.180Z,19.390667,-155.2741699,0.46,2.61,ml,11,97,0.004703,0.23,hv,hv70257097,2018-06-10T10:53:03.270Z,"5km SW of Volcano, Hawaii",earthquake,0.39,0.39,0.49,3,automatic,hv,hv
2018-06-10T10:42:56.540Z,19.3963337,-155.2753296,0.78,3.93,ml,56,40,0.001859,0.32,hv,hv70257087,2018-06-10T16:50:12.138Z,"5km SW of Volcano, Hawaii",earthquake,0.29,0.17,3.93,36,automatic,hv,hv
2018-06-10T10:42:45.810Z,19.4001675,-155.2683258,0.61,3.93,ml,20,68,0.002891,0.17,hv,hv70257082,2018-06-10T18:45:26.326Z,"4km SW of Volcano, Hawaii",earthquake,0.27,0.33,3.8,35,automatic,hv,hv
2018-06-10T10:42:02.080Z,19.3929996,-155.2839966,-1.14,2.47,ml,11,108,0.01005,0.34,hv,hv70257077,2018-06-10T10:47:41.440Z,"6km SW of Volcano, Hawaii",earthquake,0.47,0.51,0.22,4,automatic,hv,hv
2018-06-10T10:39:36.460Z,19.4096661,-155.2579956,1.12,2.35,ml,18,142,0.002992,0.21,hv,hv70257072,2018-06-10T10:45:18.950Z,"3km SW of Volcano, Hawaii",earthquake,0.38,0.29,0.21,5,automatic,hv,hv
2018-06-10T10:39:18.700Z,19.387167,-155.2810059,-0.14,2.23,ml,9,115,0.0009204,0.17,hv,hv70257067,2018-06-10T10:44:56.150Z,"6km SW of Volcano, Hawaii",earthquake,0.43,0.4,0.27,7,automatic,hv,hv
2018-06-10T10:37:23.290Z,46.198,-122.197,3.09,0.53,ml,6,115,0.02271,0.05,uw,uw61384102,2018-06-10T15:59:58.420Z,"37km NNE of Amboy, Washington",earthquake,0.67,1.41,0.218,6,reviewed,uw,uw
2018-06-10T10:36:45.230Z,19.4249992,-155.2601624,-1.16,2.13,ml,9,139,0.002085,0.21,hv,hv70257057,2018-06-10T10:42:27.620Z,"2km WSW of Volcano, Hawaii",earthquake,0.44,0.35,0.38,7,automatic,hv,hv
